time_iso8601,forks_cumulative
2020-11-25 00:00:00+00:00,1
2021-01-06 00:00:00+00:00,2
2021-01-09 00:00:00+00:00,3
2021-04-21 00:00:00+00:00,4
2021-05-22 00:00:00+00:00,5
2021-09-24 00:00:00+00:00,6
2022-01-13 00:00:00+00:00,7
2022-02-25 00:00:00+00:00,8
2022-03-31 00:00:00+00:00,9
2022-05-13 00:00:00+00:00,10
2022-09-04 00:00:00+00:00,11
2022-11-02 00:00:00+00:00,12
2022-11-03 00:00:00+00:00,13
2022-11-09 00:00:00+00:00,14
2022-11-23 00:00:00+00:00,15
2023-04-18 00:00:00+00:00,16
2024-02-15 00:00:00+00:00,17
2024-06-30 00:00:00+00:00,18
