url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,184,96
/hgalytoby/MyselfAnimeDownloader/releases,51,34
/hgalytoby/MyselfAnimeDownloader/issues/31,27,2
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.8,23,14
/hgalytoby/MyselfAnimeDownloader/issues/5,19,18
/hgalytoby/MyselfAnimeDownloader/issues,18,3
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.9,15,10
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,11,8
/hgalytoby/MyselfAnimeDownloader/find/master,10,9
/hgalytoby/MyselfAnimeDownloader/issues/20,10,9
