time_iso8601,stars_cumulative
2020-08-10 00:00:00+00:00,2
2020-09-29 00:00:00+00:00,3
2020-12-05 00:00:00+00:00,4
2020-12-24 00:00:00+00:00,5
2021-01-05 00:00:00+00:00,6
2021-01-09 00:00:00+00:00,7
2021-01-19 00:00:00+00:00,8
2021-01-25 00:00:00+00:00,9
2021-02-04 00:00:00+00:00,10
2021-02-07 00:00:00+00:00,11
2021-02-11 00:00:00+00:00,13
2021-02-14 00:00:00+00:00,14
2021-04-07 00:00:00+00:00,15
2021-04-21 00:00:00+00:00,16
2021-04-24 00:00:00+00:00,17
2021-05-17 00:00:00+00:00,18
2021-05-22 00:00:00+00:00,19
2021-05-26 00:00:00+00:00,20
2021-06-04 00:00:00+00:00,21
2021-06-06 00:00:00+00:00,22
2021-06-12 00:00:00+00:00,23
2021-06-26 00:00:00+00:00,24
2021-07-08 00:00:00+00:00,25
2021-07-09 00:00:00+00:00,26
2021-07-14 00:00:00+00:00,27
2021-08-02 00:00:00+00:00,28
2021-08-17 00:00:00+00:00,29
2021-08-23 00:00:00+00:00,30
2021-08-26 00:00:00+00:00,32
2021-08-27 00:00:00+00:00,33
2021-08-29 00:00:00+00:00,34
2021-09-02 00:00:00+00:00,35
2021-09-04 00:00:00+00:00,36
2021-09-07 00:00:00+00:00,37
2021-09-12 00:00:00+00:00,38
2021-09-15 00:00:00+00:00,40
2021-09-17 00:00:00+00:00,41
2021-09-24 00:00:00+00:00,42
2021-10-12 00:00:00+00:00,44
2021-10-30 00:00:00+00:00,45
2021-10-31 00:00:00+00:00,46
2021-11-01 00:00:00+00:00,47
2021-11-09 00:00:00+00:00,48
2021-11-14 00:00:00+00:00,49
2021-11-17 00:00:00+00:00,50
2021-11-28 00:00:00+00:00,51
2021-12-21 00:00:00+00:00,52
2022-01-13 00:00:00+00:00,53
2022-01-31 00:00:00+00:00,54
2022-02-23 00:00:00+00:00,55
2022-03-19 00:00:00+00:00,56
2022-04-02 00:00:00+00:00,57
2022-04-07 00:00:00+00:00,58
2022-04-15 00:00:00+00:00,59
2022-04-24 00:00:00+00:00,60
2022-05-02 00:00:00+00:00,61
2022-05-09 00:00:00+00:00,62
2022-05-18 00:00:00+00:00,63
2022-05-31 00:00:00+00:00,64
2022-06-08 00:00:00+00:00,65
2022-06-23 00:00:00+00:00,66
2022-07-02 00:00:00+00:00,67
2022-07-06 00:00:00+00:00,68
2022-07-10 00:00:00+00:00,69
2022-08-01 00:00:00+00:00,70
2022-08-02 00:00:00+00:00,72
2022-08-04 00:00:00+00:00,73
2022-08-13 00:00:00+00:00,74
2022-08-22 00:00:00+00:00,75
2022-09-01 00:00:00+00:00,76
2022-09-04 00:00:00+00:00,77
2022-09-18 00:00:00+00:00,78
2022-09-20 00:00:00+00:00,79
2022-11-02 00:00:00+00:00,81
2022-11-03 00:00:00+00:00,83
2022-11-04 00:00:00+00:00,84
2022-11-05 00:00:00+00:00,89
2022-11-06 00:00:00+00:00,91
2022-11-07 00:00:00+00:00,95
2022-11-08 00:00:00+00:00,97
2022-11-09 00:00:00+00:00,99
2022-11-10 00:00:00+00:00,101
2022-11-12 00:00:00+00:00,102
2022-11-13 00:00:00+00:00,104
2022-11-15 00:00:00+00:00,107
2022-11-16 00:00:00+00:00,109
2022-11-17 00:00:00+00:00,110
2022-11-18 00:00:00+00:00,113
2022-11-19 00:00:00+00:00,114
2022-11-20 00:00:00+00:00,117
2022-11-21 00:00:00+00:00,119
2022-11-22 00:00:00+00:00,120
2022-11-23 00:00:00+00:00,123
2022-11-24 00:00:00+00:00,125
2022-11-30 00:00:00+00:00,126
2022-12-01 00:00:00+00:00,127
2022-12-03 00:00:00+00:00,128
2022-12-05 00:00:00+00:00,129
2022-12-09 00:00:00+00:00,130
2022-12-10 00:00:00+00:00,132
2022-12-15 00:00:00+00:00,133
2022-12-20 00:00:00+00:00,134
2022-12-24 00:00:00+00:00,135
2022-12-25 00:00:00+00:00,136
2022-12-30 00:00:00+00:00,137
2023-01-03 00:00:00+00:00,138
2023-01-07 00:00:00+00:00,139
2023-01-08 00:00:00+00:00,140
2023-02-04 00:00:00+00:00,141
2023-02-07 00:00:00+00:00,142
2023-02-10 00:00:00+00:00,143
2023-02-25 00:00:00+00:00,144
2023-02-28 00:00:00+00:00,145
2023-03-05 00:00:00+00:00,146
2023-03-06 00:00:00+00:00,147
2023-03-18 00:00:00+00:00,148
2023-04-06 00:00:00+00:00,149
2023-04-12 00:00:00+00:00,150
2023-04-16 00:00:00+00:00,151
2023-04-18 00:00:00+00:00,152
2023-04-25 00:00:00+00:00,153
2023-05-17 00:00:00+00:00,154
2023-05-26 00:00:00+00:00,155
2023-05-28 00:00:00+00:00,156
2023-06-08 00:00:00+00:00,157
2023-07-12 00:00:00+00:00,158
2023-07-17 00:00:00+00:00,159
2023-07-23 00:00:00+00:00,160
2023-09-04 00:00:00+00:00,161
2023-09-12 00:00:00+00:00,162
2023-11-14 00:00:00+00:00,163
2023-11-18 00:00:00+00:00,164
2023-11-22 00:00:00+00:00,165
2023-12-07 00:00:00+00:00,166
2024-01-03 00:00:00+00:00,167
2024-01-07 00:00:00+00:00,168
2024-01-10 00:00:00+00:00,169
2024-01-21 00:00:00+00:00,170
2024-02-03 00:00:00+00:00,171
2024-02-12 00:00:00+00:00,172
2024-02-16 00:00:00+00:00,173
2024-02-25 00:00:00+00:00,174
